1599 samples: 800 train, 799 test
it 0: rate=0.000100, e_train=32.553013, e_test=32.404580
it 1: rate=0.000100, e_train=32.543275, e_test=32.385425
it 2: rate=0.000100, e_train=32.513008, e_test=32.339129
it 3: rate=0.000100, e_train=32.338773, e_test=31.576041
it 4: rate=0.000100, e_train=24.768930, e_test=18.339127
it 5: rate=0.000100, e_train=14.515543, e_test=12.072628
it 6: rate=0.000100, e_train=10.386656, e_test=9.470547
it 7: rate=0.000100, e_train=8.919528, e_test=8.525542
it 8: rate=0.000100, e_train=8.431445, e_test=8.140517
it 9: rate=0.000100, e_train=8.174061, e_test=7.883046
it 10: rate=0.000100, e_train=7.949173, e_test=7.652176
it 11: rate=0.000100, e_train=7.729108, e_test=7.424267
it 12: rate=0.000100, e_train=7.505053, e_test=7.195883
it 13: rate=0.000100, e_train=7.277565, e_test=6.962457
it 14: rate=0.000100, e_train=7.047910, e_test=6.727703
it 15: rate=0.000100, e_train=6.815272, e_test=6.489092
it 16: rate=0.000100, e_train=6.578907, e_test=6.247241
it 17: rate=0.000100, e_train=6.340648, e_test=6.005728
it 18: rate=0.000100, e_train=6.101327, e_test=5.764034
it 19: rate=0.000100, e_train=5.863201, e_test=5.523981
it 20: rate=0.000100, e_train=5.627162, e_test=5.285793
it 21: rate=0.000100, e_train=5.393877, e_test=5.050923
it 22: rate=0.000100, e_train=5.163101, e_test=4.819631
it 23: rate=0.000100, e_train=4.936244, e_test=4.593684
it 24: rate=0.000100, e_train=4.714350, e_test=4.373430
it 25: rate=0.000100, e_train=4.497369, e_test=4.158409
it 26: rate=0.000100, e_train=4.286028, e_test=3.950075
it 27: rate=0.000100, e_train=4.080815, e_test=3.748226
it 28: rate=0.000100, e_train=3.881362, e_test=3.553791
it 29: rate=0.000100, e_train=3.688589, e_test=3.366595
it 30: rate=0.000100, e_train=3.502572, e_test=3.186324
it 31: rate=0.000100, e_train=3.322746, e_test=3.012345
it 32: rate=0.000100, e_train=3.148849, e_test=2.844858
it 33: rate=0.000100, e_train=2.982038, e_test=2.684468
it 34: rate=0.000100, e_train=2.822509, e_test=2.531294
it 35: rate=0.000100, e_train=2.670472, e_test=2.386266
it 36: rate=0.000100, e_train=2.525290, e_test=2.248728
it 37: rate=0.000100, e_train=2.387123, e_test=2.118356
it 38: rate=0.000100, e_train=2.256028, e_test=1.995314
it 39: rate=0.000100, e_train=2.131972, e_test=1.879490
it 40: rate=0.000100, e_train=2.014891, e_test=1.770733
it 41: rate=0.000100, e_train=1.905140, e_test=1.669318
it 42: rate=0.000100, e_train=1.803045, e_test=1.574989
it 43: rate=0.000100, e_train=1.707757, e_test=1.487535
it 44: rate=0.000100, e_train=1.619114, e_test=1.406602
it 45: rate=0.000100, e_train=1.536884, e_test=1.331966
it 46: rate=0.000100, e_train=1.460923, e_test=1.263458
it 47: rate=0.000100, e_train=1.390913, e_test=1.200742
it 48: rate=0.000100, e_train=1.326380, e_test=1.143491
it 49: rate=0.000100, e_train=1.267251, e_test=1.091681
it 50: rate=0.000100, e_train=1.213183, e_test=1.044607
it 51: rate=0.000100, e_train=1.163953, e_test=1.001912
it 52: rate=0.000100, e_train=1.118945, e_test=0.963285
it 53: rate=0.000100, e_train=1.077903, e_test=0.928402
it 54: rate=0.000100, e_train=1.040497, e_test=0.896956
it 55: rate=0.000100, e_train=1.006468, e_test=0.868580
it 56: rate=0.000100, e_train=0.975587, e_test=0.842935
it 57: rate=0.000100, e_train=0.947547, e_test=0.819839
it 58: rate=0.000100, e_train=0.922056, e_test=0.799002
it 59: rate=0.000100, e_train=0.898858, e_test=0.780199
it 60: rate=0.000100, e_train=0.877758, e_test=0.763251
it 61: rate=0.000100, e_train=0.858546, e_test=0.747959
it 62: rate=0.000100, e_train=0.841020, e_test=0.734165
it 63: rate=0.000100, e_train=0.825023, e_test=0.721727
it 64: rate=0.000100, e_train=0.810432, e_test=0.710421
it 65: rate=0.000100, e_train=0.797104, e_test=0.700174
it 66: rate=0.000100, e_train=0.784917, e_test=0.690862
it 67: rate=0.000100, e_train=0.773728, e_test=0.682302
it 68: rate=0.000100, e_train=0.763396, e_test=0.674482
it 69: rate=0.000100, e_train=0.753883, e_test=0.667297
it 70: rate=0.000100, e_train=0.745123, e_test=0.660667
it 71: rate=0.000100, e_train=0.736993, e_test=0.654524
it 72: rate=0.000100, e_train=0.729441, e_test=0.648847
it 73: rate=0.000100, e_train=0.722372, e_test=0.643532
it 74: rate=0.000100, e_train=0.715769, e_test=0.638560
it 75: rate=0.000100, e_train=0.709615, e_test=0.633938
it 76: rate=0.000100, e_train=0.703807, e_test=0.629539
it 77: rate=0.000100, e_train=0.698341, e_test=0.625365
it 78: rate=0.000100, e_train=0.693087, e_test=0.621359
it 79: rate=0.000100, e_train=0.688114, e_test=0.617564
it 80: rate=0.000100, e_train=0.683379, e_test=0.613950
it 81: rate=0.000100, e_train=0.678866, e_test=0.610496
it 82: rate=0.000100, e_train=0.674579, e_test=0.607181
it 83: rate=0.000100, e_train=0.670515, e_test=0.603954
it 84: rate=0.000100, e_train=0.666575, e_test=0.600821
it 85: rate=0.000100, e_train=0.662839, e_test=0.597805
it 86: rate=0.000100, e_train=0.659157, e_test=0.594882
it 87: rate=0.000100, e_train=0.655684, e_test=0.592182
it 88: rate=0.000100, e_train=0.652412, e_test=0.589590
it 89: rate=0.000100, e_train=0.649279, e_test=0.587085
it 90: rate=0.000100, e_train=0.646218, e_test=0.584584
it 91: rate=0.000100, e_train=0.643325, e_test=0.582275
it 92: rate=0.000100, e_train=0.640541, e_test=0.580076
it 93: rate=0.000100, e_train=0.637886, e_test=0.577970
it 94: rate=0.000100, e_train=0.635367, e_test=0.575964
it 95: rate=0.000100, e_train=0.632969, e_test=0.574060
it 96: rate=0.000100, e_train=0.630632, e_test=0.572142
it 97: rate=0.000100, e_train=0.628361, e_test=0.570249
